DeviceName,Count
michaelvm,311
employee-1257,211
r3dant-ls-lab6,188
win10-stigs,182
mde-test,178
win19-ad.youngsb24.com,172
win10-mde-test-,162
vm-final-lab-wi,160
windows-target-1,158
vulnlabwin-dc,154
dakbla88,151
win-vm-mde,148
hercules-soc,141
winvm1agm,134
slflarewinsysmo,132
fangze-windows1,132
vm-final-dule,129
vm-finallabe-r,122
final-lab-v31,120
dopwin10,117
cash-only,115
onboarding-win1,103
ishan-windows-p,100
juliomde2,99
th-oscar-p,99
kayetvm,94
e2b-windows-pra,93
sb-edr-lab,91
khajitwares,91
windows-vm,86
boobuntu,85
abet-homelab,85
panbear-2nd-vm,81
rojas-mde,81
ding,76
slrembox.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,75
labuser,72
vm-finalab-jenk,65
linux-giancarlo.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,65
vmtomde,64
vm-server-final,58
ryan-win10-rce3,57
mo-threat-hunt-,57
mx-mde-vm,56
linux-gcg-123.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,53
ash-threathunt,52
fe-studentlab14,50
michelle-window,48
alino-mde-test1,47
sunlinuxtest,39
boobuntu.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,37
cyd,34
fphilip-linux-agent.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,29
linux-target-1.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,18
windows19-rora,17
linux-vm-123-gc.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,16
win19-ad,16
chary-linux,9
kc-ubuntu-server-stig.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,8
kc-ubuntu-server-stig,8
linux-giancarlo,8
linux-vultest-jay.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,8
vm-final-lab-ip,7
linux-vm-123-gatti.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,4
